MCC,noga4,noga3,noga2,our_code,our_category,Description,General Merchant Category Codes,Valid Payment Brand(s)
5940,4649;4764,464,46,OR,Retail: Other goods,Bicycle Shops–Sales and Service,Miscellaneous Stores,"V, M"
5937,4779;9003,477,47,OR,Retail: Other goods,Antique Reproduction Stores,Miscellaneous Stores,"V, M"
5935,4611,461,46,999,Other,Wrecking and Salvage Yards,Miscellaneous Stores,"V, M"
5933,6492,649,64,999,Other,Pawn Shops,Miscellaneous Stores,"V, M"
5932,4779;9003,477,47,OR,Retail: Other goods,"Antique Shops–Sales, Repairs and Restoration
Services",Miscellaneous Stores,"V, M"
5931,4779,477,47,OR,Retail: Other goods,"Second Hand Stores, Used Merchandise Stores",Miscellaneous Stores,"V, M"
5921,4725,472,47,FBT,"Retail: Food, beverage, tobacco","Package Stores–Beer, Wine and Liquor",Miscellaneous Stores,"V, M"
5912,4773;4775,477,47,OR,Retail: Other goods,Drug Stores and Pharmacies,Miscellaneous Stores,"V, M"
5818,4791,479,47,OR,Retail: Other goods,"Digital Goods: Large Digital Goods Merchant (V)
Digital Goods: Multi-Category (M)",Miscellaneous Stores,"V, M"
5817,4741,474,47,OR,Retail: Other goods,Digital Goods: Applications (Excludes Games),Miscellaneous Stores,"V, M"
5816,4741,474,47,OR,Retail: Other goods,Digital Goods: Games,Miscellaneous Stores,"V, M"
5815,"4763, 5811;5911;5913",476,47,OR,Retail: Other goods,"Digital Goods: Books, Movies, Music",Miscellaneous Stores,"V, M"
5814,5610,561,56,FBS,Food & Beverage Services,Fast Food Restaurants,Miscellaneous Stores,"V, M"
5813,5630,563,56,FBS,Food & Beverage Services,"Bars, Cocktail Lounges, Discotheques, Nightclubs
and Taverns–Drinking Places (Alcoholic Beverages)",Miscellaneous Stores,"V, M"
5812,5610,561,56,FBS,Food & Beverage Services,Eating Places and Restaurants,Miscellaneous Stores,"V, M"
5811,5621;5629,562,56,FBS,Food & Beverage Services,Caterers,Miscellaneous Stores,"V, M"
5735,4743,474,47,OR,Retail: Other goods,Record Shops,Miscellaneous Stores,"V, M"
5734,4741;4651,474,47,OR,Retail: Other goods,Computer Software Stores,Miscellaneous Stores,"V, M"
5733,4759;4649,475,47,OR,Retail: Other goods,"Music Stores–Musical Instruments, Pianos and
Sheet Music",Miscellaneous Stores,"V, M"
5732,4741;4742;4743,474,47,OR,Retail: Other goods,Electronics Sales,Miscellaneous Stores,"V, M"
5722,4754;4759;4646,475,47,OR,Retail: Other goods,Household Appliance Stores,Miscellaneous Stores,"V, M"
5719,4759;4754,475,47,OR,Retail: Other goods,Miscellaneous House Furnishing Specialty Shops,Miscellaneous Stores,"V, M"
5718,4752; 4322,475,47,OR,Retail: Other goods,"Fireplace, Fireplace Screens and Accessories Stores",Miscellaneous Stores,"V, M"
5714,4753,475,47,OR,Retail: Other goods,"Drapery, Upholstery and Window Coverings Stores",Miscellaneous Stores,"V, M"
5713,4753,475,47,OR,Retail: Other goods,Floor Covering Stores,Miscellaneous Stores,"V, M"
5712,4759;4647,475,47,OR,Retail: Other goods,"Equipment, Furniture and Home Furnishings Stores
(except Appliances)",Miscellaneous Stores,"V, M"
5699,4771;4642;4778,477,47,OR,Retail: Other goods,Accessory and Apparel Stores–Miscellaneous,Clothing Stores,"V, M"
5698,9602,960,96,PER,Personal Services,Wig and Toupee Shops,Clothing Stores,"V, M"
5697,9529; 1413;4771,952,95,PER,Personal Services,"Alterations, Mending, Seamstresses, Tailors",Clothing Stores,"V, M"
5691,4771,477,47,OR,Retail: Other goods,Men’s and Women’s Clothing Stores,Clothing Stores,"V, M"
5681,4772;4642,477,47,OR,Retail: Other goods,Furriers and Fur Shops,Clothing Stores,"V, M"
5661,4772,477,47,OR,Retail: Other goods,Shoe Stores,Clothing Stores,"V, M"
5655,4764;4649,476,47,OR,Retail: Other goods,"Sports Apparel, and Riding Apparel Stores",Clothing Stores,"V, M"
5651,4771;4642,477,47,OR,Retail: Other goods,Family Clothing Stores,Clothing Stores,"V, M"
5641,4771;4642,477,47,OR,Retail: Other goods,Children’s and Infants’ Wear Stores,Clothing Stores,"V, M"
5631,4771;4642,477,47,OR,Retail: Other goods,Women’s Accessory and Specialty Stores,Clothing Stores,"V, M"
5621,4771;4642,477,47,OR,Retail: Other goods,Women’s Ready to Wear Stores,Clothing Stores,"V, M"
5611,4642;4771,464,46,OR,Retail: Other goods,Men’s and Boys’ Clothing and Accessories Stores,Clothing Stores,"V, M"
5599,4519;4614,451,45,MV,Motor Vehicles,"Miscellaneous Automotive, Aircraft, and Farm
Equipment Dealers–Not Elsewhere Classified",Retail Outlet Services,"V, M"
5598,2910;4519,291,29,MV,Motor Vehicles,Snowmobile Dealers,Retail Outlet Services,"V, M"
5592,4519,451,45,MV,Motor Vehicles,Motor Home Dealers,Retail Outlet Services,"V, M"
5571,4540,454,45,MV,Motor Vehicles,Motorcycle Shops and Dealers,Retail Outlet Services,"V, M"
5561,4519; 4764,451,45,MV,Motor Vehicles,"Camper Dealers, Recreational and Utility Trailers",Retail Outlet Services,"V, M"
5551,4764;4649,476,47,OR,Retail: Other goods,Boat Dealers,Retail Outlet Services,"V, M"
5542,4730,473,47,RFS,Retail: Fuel stations,"Fuel Dispenser, Automated",Retail Outlet Services,"V, M"
5541,4730,473,47,RFS,Retail: Fuel stations,"Service Stations (With or Without Ancillary
Services)",Retail Outlet Services,"V, M"
5533,4531;4532,453,45,MV,Motor Vehicles,Automotive Parts and Accessories Stores,Retail Outlet Services,"V, M"
5532,4531;4532,453,45,MV,Motor Vehicles,Automotive Tire Stores,Retail Outlet Services,"V, M"
5521,4519;4531;4532,451,45,MV,Motor Vehicles,Automobile and Truck Dealers–(Used Only)–Sales,Retail Outlet Services,"V, M"
5511,4519;7711;7712,451,45,MV,Motor Vehicles,"Automobile and Truck Dealers–Sales, Service,
Repairs, Parts and Leasing",Retail Outlet Services,"V, M"
5499,4711,471,47,FBT,"Retail: Food, beverage, tobacco","Miscellaneous Food Stores–Convenience Stores,
Markets, Specialty Stores, and Vending Machines",Retail Outlet Services,"V, M"
5462,4724,472,47,FBT,"Retail: Food, beverage, tobacco",Bakeries,Retail Outlet Services,"V, M"
5451,4633;4729,463,46,FBT,"Retail: Food, beverage, tobacco",Dairy Products Stores,Retail Outlet Services,"V, M"
5441,4724;4636,472,47,FBT,"Retail: Food, beverage, tobacco","Candy, Nut and Confectionery Stores",Retail Outlet Services,"V, M"
5422,1011;4632;4722;4723;4638,101,10,FBT,"Retail: Food, beverage, tobacco",Freezer and Locker Meat Provisioners,Retail Outlet Services,"V, M"
5411,4711,471,47,FBT,"Retail: Food, beverage, tobacco","Grocery Stores, Supermarkets",Retail Outlet Services,"V, M"
5399,4719,471,47,OR,Retail: Other goods,Miscellaneous General Merchandise Stores,Retail Outlet Services,"V, M"
5331,4719; 4690,471,47,OR,Retail: Other goods,Variety Stores,Retail Outlet Services,"V, M"
5311,4719,471,47,OR,Retail: Other goods,Department Stores,Retail Outlet Services,"V, M"
5310,4719,471,47,OR,Retail: Other goods,Discount Stores,Retail Outlet Services,"V, M"
5309,4690;4711;4719,469,46,OR,Retail: Other goods,Duty Free Stores,Retail Outlet Services,"V, M"
5300,4719;4711;4690;4619,471,47,OR,Retail: Other goods,Wholesale Clubs,Retail Outlet Services,"V, M"
5271,4519; 5530,451,45,MV,Motor Vehicles,Mobile Home Dealers,Retail Outlet Services,"V, M"
5261,4776; 8130,477,47,OR,Retail: Other goods,Lawn and Garden Supply Stores,Retail Outlet Services,"V, M"
5251,4752; 4674,475,47,OR,Retail: Other goods,Hardware Stores,Retail Outlet Services,"V, M"
5231,4752; 4673,475,47,OR,Retail: Other goods,"Glass, Paint, Wallpaper Stores",Retail Outlet Services,"V, M"
5211,4752; 4673,475,47,OR,Retail: Other goods,"Building Materials, Lumber Stores",Retail Outlet Services,"V, M"
5200,4754;4759;4753; 4752,475,47,OR,Retail: Other goods,Home Supply Warehouse Stores,Retail Outlet Services,"V, M"
5199,4711;4771;4772,471,47,FBT,"Retail: Food, beverage, tobacco",Non-Durable Goods Not Elsewhere Classified,Retail Outlet Services,"V, M"
5198,4673;4752,467,46,OR,Retail: Other goods,"Paints, Varnishes and Supplies",Retail Outlet Services,"V, M"
5193,4622;4776,462,46,OR,Retail: Other goods,"Florists Supplies, Nursery Stock and Flowers",Retail Outlet Services,"V, M"
5192,4761;4762,476,47,OR,Retail: Other goods,"Books, Periodicals and Newspapers",Retail Outlet Services,"V, M"
5172,4778;4730,477,47,OR,Retail: Other goods,Petroleum and Petroleum Products,Retail Outlet Services,"V, M"
5169,4778;2041,477,47,OR,Retail: Other goods,"Chemicals and Allied Products Not Elsewhere
Classified",Retail Outlet Services,"V, M"
5139,4772,477,47,OR,Retail: Other goods,Commercial Footware,Retail Outlet Services,"V, M"
5137,4642;4771,464,46,OR,Retail: Other goods,"Men’s, Women’s and Children’s Uniforms and
Commercial Clothing",Retail Outlet Services,"V, M"
5131,4641;4751,464,46,OR,Retail: Other goods,"Piece Goods, Notions, and Other Dry Goods",Retail Outlet Services,"V, M"
5122,4646;4773;2110;2120,464,46,OR,Retail: Other goods,"Drugs, Drug Proprietors and Druggists Sundries",Retail Outlet Services,"V, M"
5111,4762; 1723,476,47,OR,Retail: Other goods,"Stationery, Office Supplies, Printing and Writing
Paper",Retail Outlet Services,"V, M"
5099,4759; 2540;3220;1512,475,47,OR,Retail: Other goods,Durable Goods Not Elsewhere Classified,Retail Outlet Services,"V, M"
5094,4648;3212; 4778,464,46,OR,Retail: Other goods,"Precious Stones and Metals, Watches and Jewelry",Retail Outlet Services,"V, M"
5085,4675;4752;4674,467,46,OR,Retail: Other goods,Industrial Supplies Not Elsewhere Classified,Retail Outlet Services,"V, M"
5074,4752,475,47,OR,Retail: Other goods,Plumbing and Heating Equipment,Retail Outlet Services,"V, M"
5072,4752,475,47,OR,Retail: Other goods,Hardware Equipment and Supplies,Retail Outlet Services,"V, M"
5065,4765,476,47,OR,Retail: Other goods,Electrical Parts and Equipment,Retail Outlet Services,"V, M"
5051,2420;2442;2593;2790,242,24,999,Other,Metal Service Centers and Offices,Retail Outlet Services,"V, M"
5047,3250;4646,325,32,999,Other,"Dental/Laboratory/Medical/Ophthalmic Hospital
Equipment and Supplies",Retail Outlet Services,"V, M"
5046,4778,477,47,OR,Retail: Other goods,Commercial Equipment Not Elsewhere Classified,Retail Outlet Services,"V, M"
5045,4751,475,47,OR,Retail: Other goods,"Computers, Computer Peripheral Equipment,
Software",Retail Outlet Services,"V, M"
5044,4778;4742,477,47,OR,Retail: Other goods,"Office, Photographic, Photocopy and Microfilm
Equipment",Retail Outlet Services,"V, M"
5039,4752,475,47,OR,Retail: Other goods,Construction Materials Not Elsewhere Classified,Retail Outlet Services,"V, M"
